type,variable_or_abbreviation,short_name,description,census_table_used
abbrevation,est,etimate,A measure of statistical accuracy of the estimate.,NA
abbrevation,moe,margin_of_error,The range of values below and above the estimate statistic. The real estimate will be somewhere between + this value.,NA
abbrevation,se,standard_error,A measure of statistical accuracy of the estimate.,NA
abbrevation,cv,coefficient_of_variation,A measure of relative variability of the estimate.  A CV of less than 15% is usually considered high reliability.  Those over 30% are considered to have low reliability meaning that the sampling error is large relative to the estimate.,NA
variable,geo_type,zcta_or_block,type of geography,NA
variable,acs_est,acs_5_yr_estimate,type of american community survey estimate,NA
variable,year,estimate_year,year of estimate,NA
variable,geoid,geographic_identifier,unique geographic identifier assigned by the census. Zcta or block group (state+county+tract+block group),NA
variable,name,full_geography_name,description of geography name that corresponds to geoid,NA
variable,state,state_fips_code,state fips code assigned by census bureau (2 digits),NA
variable,county,county_fips_code,county code assigned by census bureau (3 digits),NA
variable,tract,tract_code,tract code assigned by census bureau (6 digits),NA
variable,block_group,block_group_code,block groups assigned by census bureau (1 digit),NA
variable,pop_estimate,population_count_estimate,adjusted total population count estimate for geoid from acs table . This was taken directly from the acs and was not calculated  ,B01003
variable,pop_moe90,population_margin_of_error_90,margin of error (90%) corresponding to the population_estimate variable. This was taken directly from the acs and was not calculated  ,B01003
variable,pop_moe95,population_margin_of_error_95,margin of error (95%) corresponding to the pop_estimate variable. Calculated from pop_moe90,B01003
variable,pop_se,population_standard_error,standard error corresponding to the pop_estimate variable. Calculated from pop_moe90,B01003
variable,pop_cv,population_coefficient_of_variation,coefficient of variabtion corresponding to the pop_estimate variable. Calculated from pop_moe90,B01003
variable,house_estimate,housing_unit_count_estimate,adjusted total number of housing units in the geoid. This was taken directly from the acs and was not calculated  ,B25001
variable,house_moe90,housing_unit_margin_of_error_90,margin of error (90%) corresponding to the house_estimate variable. This was taken directly from the acs and was not calculated  ,B25001
variable,house_moe95,housing_unit_margin_of_error_95,margin of error (95%) corresponding to the house_estimate variable. Calculated from house_moe90,B25001
variable,house_se,housing_unit_standard_error,standard error corresponding to the house_estimate variable. Calculated from house_moe90,B25001
variable,house_cv,housing_unit_coefficient_of_variation,coefficiant of variation corresponding to the house_estimate variable. Calculated from house_moe90,B25001
variable,age_estimate,median_age,median age estimate of those living in the corresponding geographic area. This was taken directly from the acs and was not calculated  ,B01002
variable,age_moe90,median_age_margin_of_error_90,margin of error (90%) corresponding to the age_estimate variable. Taken directly from acs table,B01002
variable,age_moe95,median_age_margin_of_error_95,margin of error (95%) corresponding to the age_estimate variable. Calculated from age_moe90,B01002
variable,age_se,median_age_standard_error,standard error corresponding to the house_estimate variable. Calculated from house_moe90,B01002
variable,age_cv,median_age_coefficient_of_variation,coefficiant of variation corresponding to the house_estimate variable. Calculated from age_moe90,B01002
variable,income_estimate,median_income,median income estimate of those living in the corresponding geographic area. This was taken directly from the acs and was not calculated  ,B19013
variable,income_moe90,median_income_margin_of_error_90,margin of error (90%) corresponding to the income_estimate variable. Taken directly from acs table,B19013
variable,income_moe95,median_income_margin_of_error_95,margin of error (95%) corresponding to the income_estimate variable. Calculated from income_moe90,B19013
variable,income_se,median_income_standard_error,standard error corresponding to the house_estimate variable. Calculated from house_moe90,B19013
variable,income_cv,median_income_coefficient_of_variation,coefficiant of variation corresponding to the house_estimate variable. Calculated from income_moe90,B19013
variable,male_est,male_percent,"Estimate of percentage of males in corresponding geographic area. Count divided by the total population. ""-1"" indicates a missing value.  ",B01001
variable,male_moe90,male_percent_margin_of_error_90,margin of error (90%) corresponding to the male_estimate variable. Calculated from male and total population counts and corresponding and each corresponding. ,B01001
variable,male_moe95,male_percent_margin_of_error_95,margin of error (95%) corresponding to the male_estimate variable.Calculated from male and total population counts and corresponding and each corresponding. ,B01001
variable,male_se,male_percent_standard_error,standard error corresponding to the male_estimate variable. Calculated from male and total population counts and corresponding and each corresponding. ,B01001
variable,male_cv,male_percent_coefficient_of_variation,coefficiant of variation corresponding to the male_estimate variable.Calculated from male and total population counts and corresponding and each corresponding. ,B01001
variable,male_form,male_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B01001
variable,female_est,female_percent,Estimate of percentage of females living in an area,B01001
variable,female_moe90,female_percent_margin_of_error_90,margin of error (90%) corresponding to the female_estimate variable. Calculated from female and total population counts and corresponding and each corresponding. ,B01001
variable,female_moe95,female_percent_margin_of_error_95,margin of error (95%) corresponding to the female_estimate variable.Calculated from female and total population counts and corresponding and each corresponding. ,B01001
variable,female_se,female_percent_standard_error,standard error corresponding to the female_estimate variable. Calculated from female and total population counts and corresponding and each corresponding. ,B01001
variable,female_cv,female_percent_coefficient_of_variation,coefficiant of variation corresponding to the female_estimate variable.Calculated from female and total population counts and corresponding and each corresponding. ,B01001
variable,female_form,female_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B01001
variable,white_alone_est,white_alone_percent,Estimate of percentage of people identifying as white only in an area,B02001
variable,white_alone_moe90,white_alone_only_percent_margin_of_error_90,margin of error (90%) corresponding to the white_alone_estimate variable. Calculated from white_alone and total population counts and corresponding and each corresponding. ,B02001
variable,white_alone_moe95,white_alone_only_percent_margin_of_error_95,margin of error (95%) corresponding to the white_alone_estimate variable.Calculated from white_alone and total population counts and corresponding and each corresponding. ,B02001
variable,white_alone_se,white_alone_only_percent_standard_error,standard error corresponding to the white_alone_estimate variable. Calculated from white_alone and total population counts and corresponding and each corresponding. ,B02001
variable,white_alone_cv,white_alone_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the white_alone_estimate variable.Calculated from white_alone and total population counts and corresponding and each corresponding. ,B02001
variable,white_alone_form,white_alone_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,black_alone_est,black_african_american_alone_percent,Estimate of percentage of people identifying as black only in an area,B02001
variable,black_alone_moe90,black_alone_only_percent_margin_of_error_90,margin of error (90%) corresponding to the black_alone_estimate variable. Calculated from black_alone and total population counts and corresponding and each corresponding. ,B02001
variable,black_alone_moe95,black_alone_only_percent_margin_of_error_95,margin of error (95%) corresponding to the black_alone_estimate variable.Calculated from black_alone and total population counts and corresponding and each corresponding. ,B02001
variable,black_alone_se,black_alone_only_percent_standard_error,standard error corresponding to the black_alone_estimate variable. Calculated from black_alone and total population counts and corresponding and each corresponding. ,B02001
variable,black_alone_cv,black_alone_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the black_alone_estimate variable.Calculated from black_alone and total population counts and corresponding and each corresponding. ,B02001
variable,black_alone_form,black_alone_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02001
variable,black_any_est,black_alone_or_multirace_percent,Estimate of percentage of people identifying as black or black in conjunction with another race in an area,B02009
variable,black_any_moe90,black_alone_or_black_multi_race_only_percent_margin_of_error_90,margin of error (90%) corresponding to the black_any_estimate variable. Calculated from black_any and total population counts and corresponding and each corresponding. ,B02009
variable,black_any_moe95,black_alone_or_black_multi_race_only_percent_margin_of_error_95,margin of error (95%) corresponding to the black_any_estimate variable.Calculated from black_any and total population counts and corresponding and each corresponding. ,B02009
variable,black_any_se,black_alone_or_black_multi_race_only_percent_standard_error,standard error corresponding to the black_any_estimate variable. Calculated from black_any and total population counts and corresponding and each corresponding. ,B02009
variable,black_any_cv,black_alone_or_black_multi_race_only_percent_coefficient_of_variation,coefficiant of variation corresponding to the black_any_estimate variable.Calculated from black_any and total population counts and corresponding and each corresponding. ,B02009
variable,black_any_form,black_alone_or_black_multi_race_only_percent_moe_formula_used,"formula used to calculate margin of error. Although proportions formula is desired, there are times when an alternative ratio formula is necessary which increases the margin of error. In some cases margin of error cannot be calculated.",B02009
variable,ai_ak_est,american_indian_or_alaska_native_alone_percent,Estimate of percentage of people identifying as american indian or alaska native only in an area,B02001
variable,ai_ak_moe90,american_indian_or_alaska_native_only_percent_margin_of_error_90,margin of error (90%) corresponding to the ai_ak_estimate variable. Calculated from ai_ak and total population counts and corresponding and each corresponding. ,B02001
